STEPS	|   PROCESS			|  A	|  B  |
 	|              			|    	|     |
-----------------------------------------------------------
 	|              			|    	|     |
0	|  INTIALISING 			|  0 	|  0  |
1	|  FILLING A FULLY		|  39989	|  0  |
2	|  POURING A TO B 		|  36990	|  2999  |
3	|  EMPTYING B 			|  36990	|  0  |
4	|  POURING A TO B 		|  33991	|  2999  |
5	|  EMPTYING B 			|  33991	|  0  |
6	|  POURING A TO B 		|  30992	|  2999  |
7	|  EMPTYING B 			|  30992	|  0  |
8	|  POURING A TO B 		|  27993	|  2999  |
9	|  EMPTYING B 			|  27993	|  0  |
10	|  POURING A TO B 		|  24994	|  2999  |
11	|  EMPTYING B 			|  24994	|  0  |
12	|  POURING A TO B 		|  21995	|  2999  |
13	|  EMPTYING B 			|  21995	|  0  |
14	|  POURING A TO B 		|  18996	|  2999  |
15	|  EMPTYING B 			|  18996	|  0  |
16	|  POURING A TO B 		|  15997	|  2999  |
17	|  EMPTYING B 			|  15997	|  0  |
18	|  POURING A TO B 		|  12998	|  2999  |
19	|  EMPTYING B 			|  12998	|  0  |
20	|  POURING A TO B 		|  9999	|  2999  |
21	|  EMPTYING B 			|  9999	|  0  |
22	|  POURING A TO B 		|  7000	|  2999  |
23	|  EMPTYING B 			|  7000	|  0  |
24	|  POURING A TO B 		|  4001	|  2999  |
25	|  EMPTYING B 			|  4001	|  0  |
26	|  POURING A TO B 		|  1002	|  2999  |
27	|  EMPTYING B 			|  1002	|  0  |
28	|  POURING A TO B 		|  0	|  1002  |
29	|  FILLING A FULLY		|  39989	|  1002  |
30	|  POURING A TO B 		|  37992	|  2999  |
31	|  EMPTYING B 			|  37992	|  0  |
32	|  POURING A TO B 		|  34993	|  2999  |
33	|  EMPTYING B 			|  34993	|  0  |
34	|  POURING A TO B 		|  31994	|  2999  |
35	|  EMPTYING B 			|  31994	|  0  |
36	|  POURING A TO B 		|  28995	|  2999  |
37	|  EMPTYING B 			|  28995	|  0  |
38	|  POURING A TO B 		|  25996	|  2999  |
39	|  EMPTYING B 			|  25996	|  0  |
40	|  POURING A TO B 		|  22997	|  2999  |
41	|  EMPTYING B 			|  22997	|  0  |
42	|  POURING A TO B 		|  19998	|  2999  |
43	|  EMPTYING B 			|  19998	|  0  |
44	|  POURING A TO B 		|  16999	|  2999  |
45	|  EMPTYING B 			|  16999	|  0  |
46	|  POURING A TO B 		|  14000	|  2999  |
47	|  EMPTYING B 			|  14000	|  0  |
48	|  POURING A TO B 		|  11001	|  2999  |
49	|  EMPTYING B 			|  11001	|  0  |
50	|  POURING A TO B 		|  8002	|  2999  |
51	|  EMPTYING B 			|  8002	|  0  |
52	|  POURING A TO B 		|  5003	|  2999  |
53	|  EMPTYING B 			|  5003	|  0  |
54	|  POURING A TO B 		|  2004	|  2999  |
55	|  EMPTYING B 			|  2004	|  0  |
56	|  POURING A TO B 		|  0	|  2004  |
57	|  FILLING A FULLY		|  39989	|  2004  |
58	|  POURING A TO B 		|  38994	|  2999  |
59	|  EMPTYING B 			|  38994	|  0  |
60	|  POURING A TO B 		|  35995	|  2999  |
61	|  EMPTYING B 			|  35995	|  0  |
62	|  POURING A TO B 		|  32996	|  2999  |
